,Survivability
0,0
1,0
2,1
3,1
4,0
5,0
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,0
14,1
15,1
16,0
17,0
18,1
19,0
20,1
21,1
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,1
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,1
41,1
42,0
43,0
44,1
45,0
46,0
47,0
48,1
49,0
50,1
51,0
52,1
53,1
54,1
55,0
56,0
57,0
58,0
59,0
60,1
61,1
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,0
74,1
75,0
76,0
77,0
78,1
79,1
80,0
81,1
82,1
83,1
84,0
85,0
86,1
87,1
88,0
89,0
90,1
91,0
92,1
93,0
94,1
95,0
96,1
97,0
98,0
99,0
