,Survivability
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,1
11,1
12,1
13,1
14,0
15,1
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,1
30,1
31,1
32,1
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,1
46,1
47,0
48,0
49,1
50,0
51,1
52,1
53,0
54,0
55,0
56,0
57,0
58,1
59,1
60,0
61,1
62,0
63,0
64,0
65,1
66,0
67,0
68,0
69,1
70,0
71,1
72,0
73,1
74,1
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,1
88,1
89,0
90,0
91,1
92,0
93,1
94,1
95,0
96,0
97,0
98,1
99,1
