,Survivability
0,0
1,1
2,0
3,1
4,0
5,0
6,0
7,0
8,1
9,0
10,1
11,0
12,0
13,1
14,1
15,1
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,1
24,0
25,0
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,0
60,1
61,1
62,0
63,1
64,1
65,0
66,1
67,0
68,1
69,1
70,0
71,1
72,0
73,0
74,0
75,1
76,0
77,0
78,1
79,0
80,1
81,1
82,0
83,0
84,0
85,0
86,1
87,1
88,1
89,0
90,1
91,0
92,1
93,0
94,1
95,1
96,1
97,1
98,0
99,1
